feature,chi2,pval,mean_spam,mean_ham,spam_minus_ham
claim,122.07568152652712,2.221982020455423e-28,0.0144825628085692,7.226761034440692e-05,0.014410295198224794
click,121.31495560603126,3.260363620425986e-28,0.02028477937347673,0.0012930364945508907,0.01899174287892584
save,114.52273092185801,1.0011205562308606e-26,0.016204397480126594,0.0005552994231614295,0.015649098056965165
website,101.14834291235515,8.534630597425548e-24,0.01757649604433079,0.0012437363625020935,0.016332759681828696
software,100.25159043022313,1.3421751025278757e-23,0.019009117132965287,0.0016529414641298296,0.017356175668835457
prize,98.06715279815705,4.0443215168094633e-23,0.01139181834911645,1.849276443648216e-05,0.011373325584679968
free,95.7492551932224,1.3039554848929878e-22,0.027529052885529905,0.0046472081556780094,0.022881844729851896
adobe,95.13582827445639,1.7776021083575532e-22,0.011862226622602941,0.0001548850571207076,0.011707341565482234
viagra,95.00156436473323,1.9023487235186767e-22,0.01092348676149629,0.0,0.01092348676149629
txt,89.1498996752345,3.6600159606209546e-21,0.01419649530517951,0.0007802916676048071,0.013416203637574703
mobile,84.30782314983087,4.234363525041524e-20,0.013563534058489247,0.0007703268646860917,0.012793207193803155
guaranteed,81.92914723229396,1.4105370309797912e-19,0.009948924859723905,8.704415090111851e-05,0.009861880708822787
2005,81.33431975675883,1.9058791085568717e-19,0.009599517991015782,3.995863460778699e-05,0.009559559356407996
logo,80.99178257540073,2.2665822773235376e-19,0.011116346501063495,0.0003231719116705704,0.010793174589392924
95,72.42604600990047,1.7341008325695553e-17,0.009604108930870842,0.00022339432830276564,0.009380714602568077
money,69.4709659821383,7.754767786259125e-17,0.017002995216108853,0.002318498580343622,0.01468449663576523
150p,67.89508230314362,1.7243068830683254e-16,0.007806724422576015,0.0,0.007806724422576015
ect,66.33087307432024,3.812403773342441e-16,3.8722046281836246e-05,0.03295596993054474,-0.0329172478842629
enron,65.13851672417982,6.981408890759598e-16,0.0,0.03227874961554996,-0.03227874961554996
stop,63.21851924561557,1.8500084087607253e-15,0.01428961461859782,0.0017242679849643274,0.012565346633633493
stationery,62.547963073379755,2.6003410178347095e-15,0.007191901008782308,0.0,0.007191901008782308
andmanyother,58.91815040348533,1.6436899479016057e-14,0.006774537243128124,0.0,0.006774537243128124
cs,57.948198810854436,2.6911184695556378e-14,0.007284222603248929,0.0001047967302120043,0.007179425873036925
offers,56.486868677679084,5.657492898965905e-14,0.009148790005501787,0.0005305926197952203,0.008618197385706567
vince,56.126096016619734,6.796895787534127e-14,1.246538145466778e-05,0.027840548092323673,-0.027828082710869007
online,54.024426027526246,1.9801266116290733e-13,0.013335630676501673,0.0018410349124384755,0.011494595764063198
oem,52.827281307282846,3.642071346154442e-13,0.006093530523065138,3.071172880477201e-06,0.00609045935018466
2004,52.44926067255875,4.4150917734327316e-13,0.006348981390001018,5.2297104811337626e-05,0.00629668428518968
000,52.25133027767516,4.883284801867256e-13,0.012709937225616936,0.0017175446532656732,0.010992392572351262
urgent,51.06332133016135,8.943389302506943e-13,0.008911337485631617,0.0006375802340733979,0.008273757251558218
reply,51.03344621363717,9.080546052216876e-13,0.01381100316288834,0.0021616316245682164,0.011649371538320123
sex,50.7799820806305,1.0332213244091237e-12,0.00650269395037313,0.00011344350444397562,0.006389250445929155
cash,49.790156750635944,1.71100196265325e-12,0.009589932990561512,0.0008621540321502609,0.008727778958411252
nokia,49.700475309590516,1.7910252358765684e-12,0.0064389965947565225,0.0001247650615100931,0.00631423153324643
removed,47.59261855452086,5.246566082850253e-12,0.006723734149573491,0.00022863125377330182,0.006495102895800189
jul,47.551824702373864,5.356887351872762e-12,0.005698880694691123,3.773840041722439e-05,0.005661142294273899
tone,46.04835951442895,1.153697114290533e-11,0.005450434291466132,2.5185061743525356e-05,0.005425249229722606
100,45.886752518679295,1.2529035861147897e-11,0.008804509280704016,0.0007852227914793849,0.008019286489224632
oniine,45.75334449984298,1.341201665159008e-11,0.005260819190507411,0.0,0.005260819190507411
engines,45.613531702201676,1.4404304074115803e-11,0.005330877317936244,1.3809102703143373e-05,0.0053170682152331
marketing,45.412845733312835,1.5958427617552937e-11,0.008252190637637423,0.0006520043461805026,0.00760018629145692
receive,45.38746959765321,1.6166536655973782e-11,0.01111544360002488,0.0015170497834076427,0.009598393816617238
identity,44.903169449001595,2.070225206795469e-11,0.005303078217956049,2.2613316840586826e-05,0.005280464901115462
ringtone,44.69464358525112,2.3028645213840955e-11,0.005139087453748547,0.0,0.005139087453748547
account,44.58013365002148,2.441565692694948e-11,0.01180447560630227,0.0017956413835855645,0.010008834222716706
http,44.281253581080826,2.844269542903462e-11,0.016976495762543908,0.003878796408666049,0.013097699353877858
1000,43.120150311464684,5.147932499287763e-11,0.005986146673149713,0.00018562660738645904,0.005800520065763254
hot,42.677552773126614,6.454878184427421e-11,0.0071110586104385564,0.0004487762675145593,0.006662282342923997
service,42.32874859952986,7.715011028930833e-11,0.01061123145702765,0.0014975953261035127,0.009113636130924137
creative,41.117889499777604,1.43318541103746e-10,0.0054664324863735805,0.00012949611632283683,0.005336936370050744
worldwide,40.82397353127996,1.6657700850712715e-10,0.005783479249127711,0.0001994087262211898,0.005584070522906521
business,40.50785394247148,1.9582730478321188e-10,0.017255586797918738,0.004325264931728947,0.012930321866189792
